n,r,network_nr,network,gene_tree
40,15,10,"((p,((((((x,(e1,((g1)#O,z))),((a)#C,f)),(b1,((((s)#N,k))#A,m1))),((h)#K,((((#N,m),l))#M,e))))#I,(((w)#L,y),(((t,(#L,(((#A,a1))#D,g))))#B,j1)))),(((#D,h1))#J,((#I,(((j,(((#B,c1))#H,(f1,d1))),(n1,o)),u)),((((l1,((#C,i1),((q)#G,b))),(#G,v)))#E,(#M,((((k1,n),(r,(#J,d))))#F,(#H,(#O,(#E,(#F,(i,(#K,c))))))))))))","(((o,((((q,h1),s),m1),((z,m),h))),(((i,(d1,a1)),n),(g,(k,i1)))),((((((f1,e1),c),((c1,((j,g1),d)),(x,a))),l1),((w,k1),(u,(r,v)))),(((n1,e),((j1,f),b1)),(((t,p),l),(y,b)))))"
40,15,11,"(((((l1,k))#D,((h)#F,n1)),p),(((v)#O,j1),(((((t,d1))#I,(((j)#C,i1),((f1)#B,((((#B,e))#N,(((a)#G,n),y)),(#I,(#F,q)))))))#E,(((x,((f,(#N,(o,m))),((g,((((m1,(((#O,(s,((r)#A,a1))))#J,(c1,(#C,g1)))),l))#L,h1)),(((#D,(#A,(((z)#H,w),(#E,b1)))))#M,e1)))),((((#M,u))#K,k1),((#L,b),(#K,((#J,(#H,c)),i))))),(#G,d)))))","(((((t,(i,i1)),(s,(d,(j1,n)))),(h1,y)),((((g1,o),l1),g),((c,q),(m,b1)))),((((v,((l,m1),a)),d1),w),((f1,((r,k),((a1,e1),k1))),(((n1,x),p),((u,(h,e)),((c1,f),(b,(z,j))))))))"
40,15,12,"(((((s,q))#F,j1))#A,(((((z,((k)#L,((i)#N,g1))),(v,p)),((u)#H,(((m1)#D,a),(((#A,(#F,((d1)#O,((l)#J,y)))))#B,((i1)#G,t))))),((#H,c),((c1,((h1,k1),(((#O,(((#N,j),((((g,(a1,(#G,((w)#M,(#B,((b)#C,m)))))),l1))#E,r)),(#M,f))))#K,h))),(e1,(((((#C,b1),((d,f1),(#J,n1))),x))#I,n))))),(#E,(#I,(#D,(#K,(e,(#L,o))))))))","(((((b,t),((k1,(c1,(r,w))),m1)),((g1,((c,a),l)),(u,q))),((((n,(l1,v)),((((n1,b1),d1),h),(s,(h1,k)))),((a1,y),p)),(((f1,x),(m,e1)),(j,((i,d),j1))))),((z,(g,(i1,e))),(f,o)))"
40,15,13,"(((t,((((e,((k1)#A,v)),f1))#D,w)),((x,a1),(s,(#A,h)))),((((b)#M,(g1,h1)),((i1)#I,((((n)#K,g))#E,(((q,((((f,l),(#M,(((((#D,((m)#H,((((y)#O,(((((l1,(o,n1)))#N,a))#C,m1)))#F,i))))#B,((#N,e1),(#H,(#O,d1)))))#L,j))))#J,((c)#G,u))),(#L,((b1,(#F,c1)),d))),((#E,(#K,(p,k))),(#G,(#I,(j1,(#B,r))))))))),(#C,(#J,z))))","((((((b1,(t,v)),l1),h),(((z,o),n),(g,b))),((((d1,(i1,e1)),n1),w),(c1,((((r,c),(f1,h1)),((y,(k,(a1,(e,(m,m1))))),((i,(u,q)),f))),((p,j1),l))))),((d,g1),(((j,(s,x)),a),k1)))"
40,15,14,"((((p)#G,a1),((l)#A,(((i1,(((((m1,e1),((f1)#E,v)),((a)#M,u)))#L,k1)))#I,(((((h1,((t,((c1)#N,(((#L,d))#H,f))),(b1,(#G,m)))))#B,(#M,l1)))#F,(#H,((g1)#J,((((#N,((((n)#O,e))#K,(#F,(y,((x)#D,s))))))#C,(#D,(o,q))),(k,(#E,r))))))))),(((z,j1),(((h,(#A,d1)),((#O,(#J,(#I,b))),(#B,(#C,(#K,(g,w)))))),i)),(j,(c,n1))))","((((((w,((y,((j1,i1),(g1,q))),c)),(((m1,v),(n,x)),((k,p),(((n1,a1),t),c1)))),(((j,s),((d,m),((f1,b),l1))),(z,k1))),(g,(r,d1))),(((e1,(((h1,o),u),h)),((i,f),a)),e)),(l,b1))"
40,15,15,"((((((((a,((k1)#A,d1)),(l1,((t)#O,j1))),((h1)#B,(((w,(k,r)))#G,(#O,g1)))),(((((e1,m1))#C,((z,a1),(((#G,x))#H,c1))))#M,p)),(((i1)#L,(h,(#A,o))),(#M,b1))))#N,((#B,(((#H,((d)#J,l)))#I,(((f)#F,(((#J,(#L,n)))#D,c)),b))),((((g,q),y),(v,((i)#K,((n1)#E,f1)))),(#D,(u,s))))),((e,(#N,(#C,(#E,(#I,m))))),(#F,(#K,j))))","(((z,m1),((((((i1,e1),b1),(k1,l)),(a1,((g1,(k,i)),((l1,(h,n)),n1)))),(a,j)),(((u,((w,h1),(t,d))),((((v,o),r),f),(g,y))),(((m,c1),(p,(f1,e))),((s,(q,b)),(d1,j1)))))),(c,x))"
40,15,16,"(((((t,(b1,o)),((((((u)#K,(((c,((z)#I,i1)))#L,h1)),k),((f)#D,(((g,(m1,j1)))#B,e1))))#J,(b,l1))))#G,(((k1)#H,((n)#M,(#I,((v,r),p)))),((y)#E,((j)#N,((#N,i),(#G,((d1)#A,(g1,(#E,e))))))))),(((((#J,d))#F,((w)#C,((#H,h),a))))#O,(((#L,(#K,l)),(#D,((#A,x),c1))),(#F,((s,((#O,m),(#M,n1))),(#B,((f1,a1),(#C,q))))))))","(((a1,z),(d1,(u,b))),(((h,q),((s,(((e,k),e1),(c,v))),(((m1,p),((x,t),((c1,y),(g,m)))),((d,f1),i1)))),((((i,a),l1),g1),((((k1,((j1,l),(o,(n,(b1,n1))))),(j,w)),r),(f,h1)))))"
40,15,17,"(i,((((((((l)#G,c))#F,((b1)#M,(s,(#F,j1)))))#I,((h)#A,((c1)#K,p))),((k1)#L,((m,(((q,((m1)#O,v)))#E,(((((e1)#C,g1),((((i1,f1),(d1,(#I,d))))#J,u)),((((l1,(#K,n1)),(g,((#O,j),((e)#H,(#G,n))))))#D,((((#H,h1),(a,b)))#B,(a1,(#A,(#C,(#L,x))))))),(#D,o)))),(#E,(((#B,((f,((r,t),w)),y)))#N,(#J,(#N,(#M,z)))))))),k))","(((m,(i1,(v,i))),((g,q),(d1,(u,l1)))),(((((d,x),(a,f)),n1),(((r,(e,f1)),((l,(c1,j)),h1)),k1)),((((((o,b1),((g1,((c,(s,e1)),(n,w))),h)),m1),t),j1),((p,((b,a1),z)),(k,y)))))"
40,15,18,"((q,((e1)#H,(z,(((#H,h))#K,n1)))),(((((((c)#E,p),d))#O,f))#N,(((k1)#J,(((#K,(((b1,j1))#G,((m,((((((#G,g1),(y,b)))#C,s))#A,(m1,i))),(#E,j)))),(((#N,((g)#F,(i1,(((l1,a1))#D,v)))))#I,(#I,a))),(f1,((n)#L,((#L,(#D,o)),h1))))),((((r,e),(l,(((#O,u))#B,c1))),(((x)#M,(#B,(#J,k))),(#F,d1))),(#M,(w,(#C,(#A,t))))))))","(((((y,l1),((h,f),(d1,o))),(((c1,((w,i),r)),(p,j1)),e1)),(((h1,(b1,a1)),f1),((l,i1),((z,t),j)))),((e,((m1,(n,n1)),((c,k1),((q,(d,m)),((s,a),(x,g1)))))),(u,((v,b),(k,g)))))"
40,15,19,"((((((((((h1)#L,a))#J,(d,j1)))#B,(((#J,l1),((j)#G,(((c1)#M,(n1,(p,(#M,(b1,(((#G,q))#H,((m)#N,v))))))),((((((f)#E,(((l,i1))#K,((((((z,b),k1))#I,y))#O,(#I,u)))))#F,t))#C,(r,i))))),n)),(#E,(#H,(h,(#K,x))))),((o,(d1,((w)#A,(#B,k)))),((((f1,s))#D,(#L,e1)),((#C,g1),(#A,a1))))),((m1,(#D,c)),e)),(#N,(#F,(#O,g))))","(((o,(g,g1)),(a,m1)),(((h,l),(j,(((((b,m),b1),(e1,(d1,t))),(((((u,d),(p,s)),e),c1),(k1,a1))),((((z,y),c),k),(j1,i1))))),((((w,r),((f,n),(x,(f1,q)))),(n1,(l1,v))),(h1,i))))"
40,15,20,"(((((((n1,a1))#D,(e,j)),(((k1,q))#A,i)))#M,(((((m)#K,b))#C,k),((((((c1)#F,(((((y)#J,n))#O,((h1)#B,(d1,((((((j1,(((#B,g1))#E,c)))#I,(e1,(#A,(#F,s)))),f))#N,d)))),(#J,((p,v),x)))))#H,b1),g),((#M,(#K,l)),(((#O,w))#G,((u,z),(m1,((l1,((f1)#L,i1)),((#L,((#G,(#D,h)),o)),(#I,(a,(#E,t)))))))))))),(#H,(#N,(#C,r))))","(k1,((((i,(b1,l)),t),((i1,o),((c,b),((g1,j),e1)))),((((x,f1),s),(((q,(h1,v)),(z,(p,(m1,d1)))),(k,(((e,a),l1),(g,((y,h),(u,((c1,j1),n)))))))),(((d,m),(r,f)),((w,n1),a1)))))"
40,15,21,"((((c1)#K,d))#J,(((((((k1,c),((x)#M,p)),e))#E,(((l1,((((d1)#N,(j,e1)))#G,g)),(n1,h)),m)))#I,((((((l,((j1,((((b)#H,a1))#D,y)),((((#J,i1),((((((f,(#D,((t)#C,(#N,(#E,k))))))#A,(r,n)))#F,(#G,q)),(b1,(#H,u)))))#L,v))),(a,(#I,w))))#B,s),(#L,((h1)#O,((#M,g1),(#A,(z,i)))))),(#B,(#O,(#K,((o,(#C,(#F,m1))),f1)))))))","((k,((((g,q),e1),(f1,d1)),(((w,m1),(u,(h1,n))),(l1,((e,g1),(j,o)))))),((((d,v),r),((b1,(c1,(i,k1))),((b,m),(a1,(i1,(h,t)))))),(((j1,z),((p,f),x)),(l,(y,((n1,(c,s)),a))))))"
40,15,22,"((b)#M,(b1,(((((e1,n1),c),((((((f,(((j,((p)#D,a1)))#G,(u,i))))#B,(((((w)#I,h))#J,o),(#D,((s)#E,t)))))#C,l),((#E,g),(e,(((#C,r))#A,q))))),((a)#N,((((l1,(((#A,(((#M,d))#F,((y,k1),((v)#L,x)))))#K,m1)),(#I,f1)),(#F,(((m)#O,(#L,d1)),n))),((#G,(#O,((i1)#H,j1))),(#J,(#B,k)))))),(#K,((#N,z),(h1,(g1,(#H,c1))))))))","((j,(l1,k1)),(((((h,((x,(((a,g),(f1,((m,j1),(s,d1)))),y)),((h1,c1),l))),((k,(u,(e1,z))),b)),(((((q,(f,t)),p),n),n1),((e,(w,d)),(i,(b1,v))))),((o,c),(m1,(r,a1)))),(i1,g1)))"
40,15,23,"((((i)#K,k1),(g,(o,(((f1)#M,((u)#A,x)),((#A,h),((j1)#I,e)))))),((((((v)#B,q),(((((l,d))#E,(#K,b)))#H,(((((((((a1)#N,(n1,z)))#L,c1))#O,i1))#D,((r)#F,(#B,(p,a)))),(h1,l1)))),(#E,j)),(((#M,w),(((#H,m))#G,((((#D,g1))#C,f),(#C,e1)))),(d1,(s,b1)))),(#G,(#N,((#F,(#O,((c)#J,(k,t)))),(#J,(y,(#L,(m1,(#I,n))))))))))","((((((h,((w,x),j1)),(f1,(c1,r))),(((g,e),d),y)),k),((((((l,b1),(z,(a1,(((n1,t),p),h1)))),m),o),((q,g1),((u,(v,n)),(e1,l1)))),(((f,(b,k1)),a),(j,s)))),(i1,(i,((d1,c),m1))))"
40,15,24,"((((((b1)#G,((j)#L,((p)#E,e1))))#D,(v,(w,h1))))#C,(((((c1)#B,(((h,(#E,n1)))#O,(((d1)#J,a),(k1,k)))))#F,(((t,(#L,(f,(((#B,(r,((i1)#I,i))))#M,(((b,(((#F,(((#G,((o,z),y)))#A,q)))#H,(e,j1))))#K,a1))))),((s,m1),(((#K,(n,u)))#N,(g1,l)))),(#A,g))),(#J,(((#N,(d,(#I,(#M,(#H,(c,l1)))))),(#O,(#D,x))),(m,(#C,f1))))))","((((f1,(c1,a1)),(i1,t)),((l1,(((((y,(x,(v,j1))),h1),d1),((h,z),g1)),(r,((w,c),e)))),(p,((i,d),(f,n1))))),((s,(k,(k1,q))),((o,(l,((m,(u,e1)),b1))),(((j,m1),(g,b)),(a,n)))))"
40,15,25,"(((b)#J,(((r)#G,k1),((((i1,d1),y),(i,((f1)#D,g))),((m)#C,c)))),((((((j,j1))#O,q),((v)#K,l)))#I,((p)#A,((#K,((((e1)#M,(#A,n)))#E,s)),(((((#E,o))#B,(#I,(#J,m1))))#N,((((((((#C,f))#F,(#N,(#D,(u,e)))))#L,(a,(#F,(#O,(x,h))))),(h1,(#L,(b1,g1)))))#H,(((#H,((c1,(#B,t)),n1)),d),((l1,k),(#G,(#M,(a1,(w,z))))))))))))","((((i1,((g1,v),((f,j1),i))),((a1,n1),x)),(((((m1,(b,(l,(z,q)))),(((n,w),c),((h1,d),e))),b1),(((t,a),g),(m,j))),(((l1,(e1,(o,y))),(f1,h)),(c1,p)))),((k,r),((d1,s),(k1,u))))"
40,15,26,"((((((((s,((a1)#O,c)))#N,(((l1,b1))#H,(h,(v,f1)))))#D,z))#B,((((((n)#M,(((#N,e1))#L,(b,g))))#E,(#D,(g1,((((((y)#I,((h1)#J,p)))#C,a))#G,(d,(k1,f)))))))#K,(#I,((((((#O,(#M,m1)))#A,m))#F,r),((((#G,x),(o,(w,(d1,(#K,q))))),j1),((n1,(#L,u)),(l,(#B,(i1,c1))))))))),((#H,j),((#A,(e,(#E,(#J,i)))),(#C,(t,(#F,k))))))","((((((((w,s),(n,i)),(u,n1)),(h,c1)),(l1,c)),(((((i1,b1),(d1,(r,h1))),q),(k1,(f1,(o,v)))),j)),(((b,j1),a),((g,f),(((k,l),((d,g1),((t,y),x))),(e1,m))))),((e,z),(p,(m1,a1))))"
40,15,27,"((k)#A,(((j)#G,(((((((w)#N,m),(((h1,n1))#O,e)),u),((k1,(#A,(r,((y)#D,((i)#F,((((((e1)#K,a1))#M,h))#L,s)))))),((((#O,b))#B,(j1,(((c)#E,(#E,(c1,b1))),(#B,d)))),(m1,((t)#C,(#L,p)))))))#I,((f)#H,((#D,(g,(x,n))),(#N,(z,l1)))))),(#C,(((#M,(#G,(o,l))))#J,(v,(#K,((g1,(#I,d1)),(#J,(#H,(q,(#F,(f1,(i1,a)))))))))))))","(((h1,p),(f1,x)),((((j1,r),k),(((c1,(d,s)),(((a,b1),v),(w,o))),(m1,t))),(((l,(q,((g,k1),f))),(((i1,u),(((e,b),l1),(g1,y))),((((n1,((i,h),m)),c),j),e1))),(d1,(z,(n,a1))))))"
40,15,28,"((((((c1,((n1)#K,h1)),(((((((t,(#K,(f1,d))),((((s)#D,(((q,(((i1,r))#H,o)))#G,(#H,y))))#J,k)))#F,b1),(#D,(((g1,j))#M,w))))#A,((v)#B,m))))#L,((((#M,(((n,b))#O,u)))#E,((#A,((#G,((a)#I,g)),(a1,e))),(x,k1))),(#F,(#J,(((l,((h)#N,(d1,f))),m1),(((#L,(#N,(#I,(((l1,c),(#O,p)),(#B,j1))))))#C,z)))))),(#E,(#C,i))),e1)","(((((u,e1),(g,(c1,n))),((j1,(((i,(o,j)),(d,v)),((p,f1),a1))),(i1,(a,(m,b))))),((x,(r,g1)),((f,(c,(y,s))),(((((n1,k),t),((q,z),h)),(m1,l)),(e,l1))))),(k1,(h1,((d1,w),b1))))"
40,15,29,"((((((((((d)#O,(((#O,s))#K,o)))#H,g),((((h)#E,(l,((((f,p),(e1,((j1,v),(((b,(#H,x)),f1),((y)#F,((n1)#J,a1)))))))#N,z))))#A,(#N,((((a)#M,(#A,n)),((t)#L,g1)),((((#K,i),k1))#I,k))))))#G,(#E,((h1)#B,u))))#C,(((#M,(#B,(d1,(j,c1)))))#D,(((#J,e),(#D,q)),c))),((#I,(i1,(#F,(((r,(#G,b1)),(w,m1)),(#C,m))))),(#L,l1)))","(((n,t),((((e1,((d,a1),o)),(x,a)),(i1,(v,l))),d1)),(((e,(f,b)),(((g,s),b1),c1)),((((c,(y,h1)),(((h,k),i),(((w,z),(l1,m1)),(j,j1)))),m),(((k1,(r,p)),f1),((g1,(q,u)),n1)))))"
40,15,30,"((((x)#M,((n1,((((((o,((c1)#E,y)),t))#H,((e)#A,(((a,((((((#M,m1))#F,h))#C,e1),(((h1,(#A,z)))#O,(l1,((l)#I,((g1)#G,w)))))))#D,j1))))#B,(r,((((f1)#N,s))#L,d1)))),((a1,k1),(#D,f)))),(((k,(((#N,(#B,c)))#J,p)))#K,((#F,b1),g))),(((#K,((#L,(#O,((u,(#C,(i1,v))),d))),(#E,b))),(#H,(m,(#I,(i,j))))),(#J,(#G,(n,q)))))","(((u,(l1,c)),(((((((p,j1),((f,(k,s)),q)),a),r),e1),((n,k1),((b,i),g1))),((y,d1),v))),((((((m1,t),w),(f1,n1)),(j,b1)),(d,(((x,(o,(m,(h1,c1)))),(z,(g,(e,h)))),l))),(a1,i1)))"
40,15,31,"(l,((((e,d1))#G,c),((((((k,q),((((g1)#D,o))#A,w)),((z)#J,i)),g))#B,((((d)#N,b1))#H,(((((m)#C,(#B,n1)))#O,((((h1,p),(#A,a1)))#E,f)),((#J,(i1,(((((s)#L,(#O,(#D,n))))#F,(((#L,f1))#K,(a,(#N,h)))),(#H,((u,j1),e1))))),((((#G,(((x,y),j),((t)#I,(#F,(#I,v))))))#M,b),(((#K,(#M,(c1,m1))),(#C,(r,(#E,l1)))),k1))))))))","((((((j1,(d1,q)),(c,i)),(((a,(e,(h1,v))),(z,b1)),b)),(((f,f1),((l,y),d)),((m1,n1),(u,k1)))),(((o,c1),h),(l1,(x,(((e1,(k,n)),j),((g,g1),i1)))))),((m,(((t,a1),s),w)),(r,p)))"
40,15,32,"((((l1)#K,(((p)#L,(((((k1)#G,(x,((f1)#J,(y,g)))))#M,((f)#A,t)),(#G,c1))),(#L,((i1)#N,((c)#E,j))))))#D,(#D,(#A,(((((#M,a),(r,(a1,n1))),(h,(q,(w,(b,j1))))))#B,((((((z)#I,((d)#F,u)))#C,((((i,(m,e1)),((b1,l),(s,((g1)#O,v)))),h1),(#J,e))),(#B,((#F,(#K,m1)),d1))),(#I,(((k,(#E,(#O,n))))#H,(#C,(#N,(#H,o))))))))))","((l1,(c1,(((k1,f),o),e1))),(((e,(n,(z,((f1,((q,n1),m1)),v)))),((((k,b),(((g1,y),w),b1)),(d1,(h1,r))),((s,p),(i1,((j,(a,a1)),i))))),((((g,x),(d,j1)),u),((h,((m,c),t)),l))))"
40,15,33,"((((u,((y)#B,l1)))#G,((((((k1,d1))#M,q))#K,(((((i,d))#O,(((((m)#A,h),(#O,k)))#E,((x)#H,m1))))#J,r)),((g1)#D,((p,c),(t,(((((w)#L,j1),a))#N,j)))))),(((#G,n1))#F,(#N,((((((b,(#A,b1)))#I,(#J,(#H,z))),e),(#L,(((((h1,s),v))#C,((#B,f),(n,i1))),(f1,(a1,e1))))),((#M,(#F,(#E,c1))),(#D,(l,(#C,(#K,(#I,(o,g)))))))))))","(((((d,j1),(v,h)),((((o,g),(c1,(e,(n,(y,x))))),(n1,(z,m))),((q,(f1,w)),(k,b1)))),(((k1,(g1,d1)),(j,p)),i)),((e1,(a1,l1)),((l,(h1,i1)),(((f,(t,r)),((u,c),b)),((a,s),m1)))))"
40,15,34,"(((((((((e)#D,k1))#M,(t,((((((a1,g),v))#G,f1))#B,z))))#K,(((s)#H,(p,(#K,q))),(((x,n1))#E,b1))))#L,((#G,(((u)#N,f),(#E,((c,(((#M,((((y)#C,d))#F,d1)))#O,(#N,((h1,i1),(#O,k))))),((b)#I,(#B,((n)#A,o))))))),((j1,(m,l)),(c1,r)))),((a,(#L,(#F,m1))),((#A,(j,(#H,w))),(((h,g1))#J,(#C,(i,(#D,(l1,(#J,(#I,e1))))))))))","(((t,q),(((w,i1),a1),(((s,(k1,e)),(c,n)),z))),((((a,o),(p,(m1,e1))),((u,v),(y,c1))),((b,k),((((j1,h1),((r,(g,l)),j)),((i,x),((((f,l1),b1),m),(h,((d1,n1),g1))))),(f1,d)))))"
